"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","DC","District of Columbia","District of Columbia","11001","11001003702","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","3.1",,,"2.8","3.5","2,906","2,421","POINT (-77.0343972 38.9249042)","11001003702","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","DC","District of Columbia","District of Columbia","11001","11001003301","BRFSS","Health-Related Social Needs","Utility services shut-off threat in the past 12 months among adults","%","Crude prevalence","4.5",,,"3.7","5.5","3,824","3,325","POINT (-77.0114293 38.9204778)","11001003301","SOCLNEED","SHUTUTILITY","CrdPrv","Utility Services Threat"
"2023","DC","District of Columbia","District of Columbia","11001","11001004100","BRFSS","Health Outcomes","Diagnosed diabetes among adults","%","Crude prevalence","6.3",,,"5.4","7.3","2,836","2,606","POINT (-77.0516151 38.9159337)","11001004100","HLTHOUT","DIABETES","CrdPrv","Diabetes"
"2023","DC","District of Columbia","District of Columbia","11001","11001002703","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","72.7",,,"68.2","77.2","2,614","2,264","POINT (-77.0397435 38.9334921)","11001002703","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","DC","District of Columbia","District of Columbia","11001","11001008904","BRFSS","Health-Related Social Needs","Food insecurity in the past 12 months among adults","%","Crude prevalence","24.1",,,"19.0","29.3","3,137","2,455","POINT (-76.9748514 38.9009808)","11001008904","SOCLNEED","FOODINSECU","CrdPrv","Food Insecurity"
"2023","DC","District of Columbia","District of Columbia","11001","11001001702","BRFSS","Health Outcomes","Coronary heart disease among adults","%","Crude prevalence","3.4",,,"3.0","3.9","3,356","2,799","POINT (-77.0160682 38.9717231)","11001001702","HLTHOUT","CHD","CrdPrv","Coronary Heart Disease"
"2023","DC","District of Columbia","District of Columbia","11001","11001007301","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","20.7",,,"16.0","26.0","3,841","2,645","POINT (-77.024445 38.834928)","11001007301","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","DC","District of Columbia","District of Columbia","11001","11001002201","BRFSS","Prevention","Current lack of health insurance among adults aged 18-64 years","%","Crude prevalence","7.5",,,"5.7","9.6","3,485","2,755","POINT (-77.0232932 38.9491337)","11001002201","PREVENT","ACCESS2","CrdPrv","Health Insurance"
"2023","DC","District of Columbia","District of Columbia","11001","11001005601","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","69.8",,,"64.7","74.6","2,900","2,852","POINT (-77.0524317 38.901567)","11001005601","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","DC","District of Columbia","District of Columbia","11001","11001004202","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","6.3",,,"5.5","7.3","2,850","2,736","POINT (-77.0430254 38.9134023)","11001004202","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","DC","District of Columbia","District of Columbia","11001","11001005303","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","2.1",,,"1.9","2.3","3,215","3,066","POINT (-77.0391656 38.909613)","11001005303","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001009102","BRFSS","Disability","Any disability among adults","%","Crude prevalence","27.3",,,"22.6","32.1","4,608","3,683","POINT (-76.9888946 38.9187926)","11001009102","DISABLT","DISABILITY","CrdPrv","Any Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001005900","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","24.5",,,"20.7","28.8","2,617","2,543","POINT (-77.0149475 38.8959944)","11001005900","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2022","DC","District of Columbia","District of Columbia","11001","11001009203","BRFSS","Health Risk Behaviors","Short sleep duration among adults","%","Crude prevalence","35.9",,,"30.2","41.7","2,775","2,389","POINT (-77.0054956 38.9219735)","11001009203","RISKBEH","SLEEP","CrdPrv","Short Sleep Duration"
"2023","DC","District of Columbia","District of Columbia","11001","11001007304","BRFSS","Disability","Vision disability among adults","%","Crude prevalence","8.6",,,"7.3","10.0","4,410","3,210","POINT (-76.9855591 38.8417979)","11001007304","DISABLT","VISION","CrdPrv","Vision Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001001702","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","4.9",,,"4.1","5.9","3,356","2,799","POINT (-77.0160682 38.9717231)","11001001702","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001002400","BRFSS","Disability","Mobility disability among adults","%","Crude prevalence","8.2",,,"6.8","9.7","4,095","3,488","POINT (-77.0224058 38.9417822)","11001002400","DISABLT","MOBILITY","CrdPrv","Mobility Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001002802","BRFSS","Disability","Independent living disability among adults","%","Crude prevalence","8.4",,,"7.2","9.8","4,685","3,955","POINT (-77.0346327 38.9294344)","11001002802","DISABLT","INDEPLIVE","CrdPrv","Independent Living Disability"
"2023","DC","District of Columbia","District of Columbia","11001","11001007406","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","18.7",,,"15.1","22.9","3,528","2,133","POINT (-76.9895582 38.8555543)","11001007406","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking"
"2023","DC","District of Columbia","District of Columbia","11001","11001003302","BRFSS","Health Status","Frequent physical distress among adults","%","Crude prevalence","6.5",,,"5.6","7.7","2,434","2,131","POINT (-77.0111677 38.9139237)","11001003302","HLTHSTAT","PHLTH","CrdPrv","Frequent Physical Distress"
"2023","DC","District of Columbia","District of Columbia","11001","11001000502","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","76.1",,,"71.8","80.3","3,418","2,972","POINT (-77.0595624 38.9283547)","11001000502","PREVENT","CHECKUP","CrdPrv","Annual Checkup"
"2023","DC","District of Columbia","District of Columbia","11001","11001002703","BRFSS","Health-Related Social Needs","Lack of reliable transportation in the past 12 months among adults","%","Crude prevalence","4.6",,,"3.8","5.8","2,614","2,264","POINT (-77.0397435 38.9334921)","11001002703","SOCLNEED","LACKTRPT","CrdPrv","Transportation Barriers"
"2023","DC","District of Columbia","District of Columbia","11001","11001001301","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","3.3",,,"2.8","4.0","4,160","3,452","POINT (-77.0520508 38.9519215)","11001001301","HLTHOUT","COPD","CrdPrv","COPD"
"2023","DC","District of Columbia","District of Columbia","11001","11001001500","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","9.0",,,"7.9","10.1","6,156","4,542","POINT (-77.0558797 38.9741576)","11001001500","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","DC","District of Columbia","District of Columbia","11001","11001009302","BRFSS","Disability","Self-care disability among adults","%","Crude prevalence","2.5",,,"2.2","2.9","1,750","1,476","POINT (-76.9907773 38.9251636)","11001009302","DISABLT","SELFCARE","CrdPrv","Self-care Disability"
